time,sex,edu,age,s1_prop,s2_prop,m11,m12,m14,m22,m21,m24
1996,b,all_edu,102,NA,NA,0.22321851551532745,0.282810814678669,0.49397069215774536,0.3057393696084242,0.01607617619889125,0.6781844541926846
1996,b,all_edu,104,NA,NA,0.18479035794734955,0.24495986104011536,0.5702497959136963,0.26673076522054795,0.009863296122898378,0.7234059386565537
1996,b,all_edu,106,NA,NA,0.15016938745975494,0.1992364376783371,0.650594174861908,0.22976540855115146,0.0056560661548757055,0.7645785252939729
1996,b,all_edu,108,NA,NA,0.11928245425224304,0.15065227076411247,0.7300652861595154,0.19567438852021535,0.003006451324525174,0.8013191601552595
1996,b,all_edu,110,NA,NA,0.09230732917785645,0.10495071299374104,0.8027419447898865,0.16480755126134694,0.0014715475892079428,0.8337209011494451
1996,b,primary,50,0.773290205231196,0.2267097947688041,0.8997629284858704,0.09011277928948402,0.01012426521629095,0.5902162357234985,0.37929955910943447,0.030484205167067055
1996,b,primary,52,NA,NA,0.8950279951095581,0.09274030849337578,0.012231677770614624,0.5990129750568816,0.36418711549479843,0.036799909448320005
1996,b,primary,54,NA,NA,0.8905602693557739,0.09486418217420578,0.014575519599020481,0.601397939465466,0.35499931001655355,0.04360275051798037
1996,b,primary,56,NA,NA,0.8861498832702637,0.0966816134750843,0.017168520018458366,0.6016265150077506,0.3470675363959958,0.05130594859625364
1996,b,primary,58,NA,NA,0.8815591335296631,0.09840762615203857,0.02003326639533043,0.6005638047544636,0.3394170635655743,0.06001913167996219
1996,b,primary,60,NA,NA,0.8765230178833008,0.10027072951197624,0.02320624515414238,0.5985063905586978,0.33168359464090785,0.0698100148003944
1996,b,primary,62,NA,NA,0.8707444071769714,0.10251344367861748,0.026742160320281982,0.5957058367099556,0.323548882300228,0.08074528098981648
1996,b,primary,64,NA,NA,0.8638834953308105,0.10539773106575012,0.03071877360343933,0.5924058489370659,0.3147034464135302,0.09289070464940383
1996,b,primary,66,NA,NA,0.8555421233177185,0.10921524465084076,0.03524265065789223,0.5888269712202997,0.3048648789670209,0.10630814981267937
1996,b,primary,68,NA,NA,0.8452406525611877,0.11430380493402481,0.040455520153045654,0.5851570871073675,0.2937898622787205,0.12105305061391208
1996,b,primary,70,NA,NA,0.8323883414268494,0.12107003107666969,0.04654161259531975,0.5815472650177905,0.28127813321515094,0.13717460176705853
1996,b,primary,72,NA,NA,0.8162456154823303,0.1300191432237625,0.05373520776629448,0.5781093492480551,0.2671733085080957,0.15471734224384928
1996,b,primary,74,NA,NA,0.7958812713623047,0.1417926400899887,0.0623260922729969,0.5749122479273663,0.25136622242935364,0.17372152964328014
